iter	Passed	Remaining
711	15342	6206
712	15363	6184
713	15379	6160
714	15404	6140
715	15424	6118
716	15441	6094
717	15458	6071
718	15474	6047
719	15493	6025
720	15509	6001
721	15530	5979
722	15545	5955
723	15566	5934
724	15586	5912
725	15604	5889
726	15626	5868
727	15652	5848
728	15668	5824
729	15686	5802
730	15703	5778
731	15724	5757
732	15740	5733
733	15876	5753
734	15951	5751
735	15999	5738
736	16069	5734
737	16138	5729
738	16213	5726
739	16270	5716
740	16320	5704
741	16419	5709
742	16463	5694
743	16483	5671
744	16499	5647
745	16517	5623
746	16532	5599
747	16553	5576
748	16570	5553
749	16596	5532
750	16614	5508
751	16631	5484
752	16651	5462
753	16669	5438
754	16688	5415
755	16704	5391
756	16721	5367
757	16737	5343
758	16761	5322
759	16786	5300
760	16802	5276
761	16819	5253
762	16835	5229
763	16859	5207
764	16882	5186
765	16899	5162
766	16916	5138
767	16932	5114
768	16953	5092
769	16967	5068
770	16993	5047
771	17012	5024
772	17031	5001
773	17053	4979
774	17066	4954
775	17089	4933
776	17108	4910
777	17124	4886
778	17146	4864
779	17164	4841
780	17206	4824
781	17222	4801
782	17240	4777
783	17257	4754
784	17277	4731
785	17295	4709
786	17319	4687
787	17340	4665
788	17357	4641
789	17374	4618
790	17394	4596
791	17419	4574
792	17442	4553
793	17458	4529
794	17478	4507
795	17493	4483
796	17512	4460
797	17526	4436
798	17549	4414
799	17568	4392
800	17586	4369
801	17605	4346
802	17620	4322
803	17641	4300
804	17656	4277
805	17685	4256
806	17706	4234
807	17721	4211
808	17747	4189
809	17772	4168
810	17788	4145
811	17807	4122
812	17823	4099
813	17846	4077
814	17864	4055
815	17882	4032
816	17902	4009
817	17919	3987
818	17944	3965
819	17963	3943
820	17979	3920
821	17997	3897
822	18017	3874
823	18043	3854
824	18063	3831
825	18079	3808
826	18098	3786
827	18115	3763
828	18143	3742
829	18179	3723
830	18198	3700
831	18214	3677
832	18232	3655
833	18248	3632
834	18268	3609
835	18284	3586
836	18305	3564
837	18322	3542
838	18343	3519
839	18367	3498
840	18382	3475
841	18406	3454
842	18425	3431
843	18443	3409
844	18464	3386
845	18480	3364
846	18501	3342
847	18520	3319
848	18537	3297
849	18556	3274
850	18692	3272
851	18789	3263
852	18829	3244
853	18858	3223
854	18886	3202
855	18907	3180
856	18927	3158
857	18952	3136
858	18972	3114
859	19005	3093
860	19035	3073
861	19062	3051
862	19104	3032
863	19124	3010
864	19141	2987
865	19158	2964
866	19174	2941
867	19198	2919
868	19218	2897
869	19235	2874
870	19255	2851
871	19272	2828
872	19414	2824
